article_id,source_name,title,countries_mentioned,country,mentions_own_country,about_own_country,event,bias,adfontes_bias,mentions_gw
66290,BBC News,Storm Ciarán: England prepares for further disruption,"['uk', 'uk', 'unitedstates', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'unitedkingdom', 'botswana', 'malaysia']",gb,True,True,cyclone,left-center,Middle,True
48226,Phys.Org,Virtually certain 2023 will be warmest year on record: US agency,"['us', 'unitedarabemirates', 'libya']",gb,False,False,cyclone,pro-science,Middle,True
48319,ABC News,Factory fishing in Antarctica for krill targets the cornerstone of a fragile ecosystem,"['australia', 'australia', 'australia', 'australia', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'us', 'us', 'us', 'us', 'us', 'ukraine', 'russia', 'russia', 'russia', 'russia', 'china', 'china', 'china', 'china', 'spain', 'spain', 'germany', 'germany', 'canada', 'norway', 'norway', 'norway', 'norway', 'norway', 'norway', 'belgium']",us,True,True,cyclone,left-center,Middle,True
48352,International Business Times,Virtually Certain 2023 Will Be Warmest Year On Record: US Agency,"['us', 'unitedarabemirates', 'libya']",us,True,False,cyclone,left-center,Middle,True
48389,CNA,Virtually certain 2023 will be warmest year on record: US agency,"['unitedstates', 'us', 'unitedarabemirates', 'libya']",sg,False,False,cyclone,least biased,Middle,True
48448,ABC News,Factory fishing in Antarctica for krill targets the cornerstone of a fragile ecosystem,"['australia', 'australia', 'australia', 'australia', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'us', 'us', 'us', 'us', 'us', 'ukraine', 'russia', 'russia', 'russia', 'russia', 'china', 'china', 'china', 'china', 'spain', 'spain', 'germany', 'germany', 'canada', 'norway', 'norway', 'norway', 'norway', 'norway', 'norway', 'belgium']",us,True,True,cyclone,left-center,Middle,True
48821,Phys.Org,Likelihood of hail in Australia has changed substantially over the last four decades,"['australia', 'australia', 'australia', 'australia', 'australia', 'australia', 'australia', 'australia', 'australia', 'australia', 'australia', 'australia', 'australia']",gb,False,False,cyclone,pro-science,Middle,True
53446,NPR,Hurricane Otis rapidly strengthens off Mexico's Pacific coast as it nears Acapulco,"['mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'mexico', 'india', 'guatemala', 'unitedstates']",us,True,False,cyclone,left-center,Middle,True
67767,International Business Times,'Zero Income' After Storms Ravage Famed Greek Apple Harvest,"['greece', 'greece', 'greece', 'greece', 'greece', 'greece', 'greece', 'greece', 'greece', 'germany', 'germany', 'unitedstates', 'turkey']",us,True,False,cyclone,left-center,Middle,True
69504,Phys.Org,"Taiwan cancels flights, shuts schools ahead of typhoon","['taiwan', 'taiwan', 'taiwan', 'taiwan', 'taiwan', 'taiwan', 'taiwan', 'taiwan', 'taiwan', 'taiwan', 'china', 'china', 'china', 'hongkong']",gb,False,False,cyclone,pro-science,Middle,True
75167,Phys.Org,Q&A: Scientist helps fish harvesters implement adaptive strategies to climate change,"['unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates']",gb,False,False,cyclone,pro-science,Middle,True
78176,Phys.Org,Record heat unleashes deadly floods from New York to Libya,"['libya', 'libya', 'libya', 'libya', 'unitedstates', 'unitedstates', 'unitedstates', 'unitedstates', 'us', 'us', 'mexico']",gb,False,False,cyclone,pro-science,Middle,True
